ISBN,Title,Author,Publisher,Published Date,Scanned At
9780571135394,Unbearable Lightness of Being,Milan Kundera,"Faber Faber Inc, Faber and Faber",July 1996,2026-02-20 16:06:42
9780571135394,Unbearable Lightness of Being,Milan Kundera,"Faber Faber Inc, Faber and Faber",July 1996,2026-02-20 17:46:37
9781571131324,Women of Letters,Margaretmary Daley,Studies in German Literature,1998,2026-02-20 17:46:42
9781571135322,The Many Faces of Weimar Cinema,Christian Rogowski,Screen Cultures: German Film a,2011-12,2026-02-20 17:46:55
9780571135394,Unbearable Lightness of Being,Milan Kundera,"Faber Faber Inc, Faber and Faber",1996,2026-02-20 18:48:43
